127.0.0.1 - - [18/Nov/2020:23:27:14 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:27:17 -0300] "GET /HealthTrack/WEB-INF/classes/br/com/fiap/healthtrack/filter/LoginFilter.java HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:40 -0300] "GET /HealthTrack HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/ HTTP/1.1" 200 7555
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/plugins/datatables/css/responsive.bootstrap4.min.css HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/plugins/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/styles/style.css HTTP/1.1" 200 85115
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/styles/icon-font.min.css HTTP/1.1" 200 163445
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/styles/core.css HTTP/1.1" 200 329785
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/scripts/core.js HTTP/1.1" 200 1620805
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/plugins/apexcharts/apexcharts.min.js HTTP/1.1" 200 447687
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/plugins/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 84501
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/scripts/layout-settings.js HTTP/1.1" 200 5695
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/scripts/script.js HTTP/1.1" 200 8211
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/scripts/process.js HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/plugins/datatables/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 3170
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/plugins/datatables/js/responsive.bootstrap4.min.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/plugins/datatables/js/dataTables.responsive.min.js HTTP/1.1" 200 13061
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/scripts/dashboard.js HTTP/1.1" 200 7269
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/images/deskapp-logo.svg HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/images/photo1.jpg HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/images/banner-img.png HTTP/1.1" 200 31551
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:41 -0300] "GET /HealthTrack/src/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:49 -0300] "GET /HealthTrack/src/fonts/dropways.ttf?jm47o8 HTTP/1.1" 200 544804
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:50 -0300] "GET /HealthTrack/login HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:50 -0300] "GET /HealthTrack/src/images/login-page-img.png HTTP/1.1" 200 100618
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:29:57 -0300] "POST /HealthTrack/login HTTP/1.1" 200 7567
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:33:33 -0300] "GET /HealthTrack/login HTTP/1.1" 200 4919
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:33:43 -0300] "POST /HealthTrack/login HTTP/1.1" 200 7567
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:33:51 -0300] "GET /HealthTrack/heartBeats HTTP/1.1" 200 19931
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:33:52 -0300] "GET /HealthTrack/src/scripts/datatable-setting.js HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [18/Nov/2020:23:33:52 -0300] "GET /HealthTrack/src/fonts/ionicons.ttf?v=2.0.1 HTTP/1.1" 200 188508
